product_category,keyword,ad_copy,ctr,cvr,roas
美妝,"保濕,週年慶",抗老神霜全新升級，重現彈潤光澤，母親節預購開跑中。,0.03,0.039,3.87
3C,"無線,開學季",強大運算實力！高效能筆電專為專業需求打造，限時下殺 8 折。,0.013,0.019,3.27
食品,"下午茶,手作",職人手作咖啡豆，香氣醇厚層次豐富，早晨最好的陪伴。,0.03,0.034,4.33
服飾,"春夏新款,時尚",期間限定！全館服飾 2 件 7 折，滿千免運超划算。,0.035,0.019,4.17
居家,"質感,居家美學",打造夢幻臥室！石墨烯保暖被，給你最極致的睡眠享受。,0.042,0.024,2.43
美妝,"逆齡,保濕",專業彩妝師推薦！顯白唇膏新色登場，讓你氣色瞬間提升。,0.017,0.022,3.7
3C,"無線,筆電,高效能",強大運算實力！高效能筆電專為專業需求打造，限時下殺 8 折。,0.07,0.041,4.95
食品,"美食,團購",端午節限定禮盒，精選頂級食材，送禮自用兩相宜。,0.051,0.043,2.07
服飾,"春夏新款,折扣,穿搭",機能運動套裝，透氣排汗不黏膩，挑戰自我極限。,0.058,0.02,3.12
居家,"設計,簡約,家具",智能空氣清淨機，高效過濾 PM2.5，呵護全家人的呼吸健康。,0.086,0.041,2.3
美妝,"週年慶,逆齡",底妝不脫妝的秘密！輕薄透氣、高度遮瑕，展現完美無瑕肌。,0.016,0.047,3.49
3C,"筆電,開學季,無線",極速快充組合，告別電量焦慮，智慧生活從現在開始。,0.023,0.016,4.11
食品,"健康,下午茶,團購",職人手作咖啡豆，香氣醇厚層次豐富，早晨最好的陪伴。,0.043,0.05,1.98
服飾,"穿搭,免運,舒適",機能運動套裝，透氣排汗不黏膩，挑戰自我極限。,0.066,0.042,2.98
居家,"居家美學,設計",超吸水瞬乾地墊，防滑設計更安全，讓浴室保持乾爽整潔。,0.058,0.049,4.51
美妝,"保濕,週年慶",底妝不脫妝的秘密！輕薄透氣、高度遮瑕，展現完美無瑕肌。,0.02,0.027,3.09
3C,"無線,筆電,高效能",居家辦公首選！超薄螢幕護眼技術，提升你的工作效率與舒適度。,0.086,0.03,2.2
食品,"手作,下午茶,美食",端午節限定禮盒，精選頂級食材，送禮自用兩相宜。,0.054,0.014,2.77
服飾,"春夏新款,穿搭,免運",春夏新款上市！清新系穿搭風格，打造質感日常。,0.018,0.029,1.74
居家,"家具,居家美學",北歐風簡約餐桌，提升居家用餐美學，質感生活從這裡開始。,0.034,0.045,2.98
